algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
IPLoM_results,HDFS_0.70,81217,11041,0.13594,28692,0.35328,16845,0.20741,13353,0.16441,14279,0.17581,16934,0.2085,2422,0.02982,1313,0.01617,1081,0.01331,1379,0.01698,1408,0.01734
IPLoM_results,Zookeeper_0.10,212830,7346,0.03452,25582,0.1202,15225,0.07154,10292,0.04836,12483,0.05865,15314,0.07195,3722,0.01749,1567,0.00736,1372,0.00645,1633,0.00767,1662,0.00781
IPLoM_results,HPC_0.30,81320,34368,0.42263,22331,0.27461,12105,0.14886,10649,0.13095,9302,0.11439,12194,0.14995,4170,0.05128,1991,0.02448,1700,0.02091,1918,0.02359,2086,0.02565
IPLoM_results,Zookeeper_0.60,95867,26464,0.27605,12617,0.13161,7911,0.08252,6048,0.06309,6670,0.06958,8000,0.08345,4769,0.04975,2826,0.02948,2767,0.02886,2851,0.02974,2921,0.03047
IPLoM_results,Zookeeper_0.30,165392,67155,0.40604,20042,0.12118,12191,0.07371,8559,0.05175,9905,0.05989,12280,0.07425,6884,0.04162,4463,0.02698,3663,0.02215,4186,0.02531,4558,0.02756
IPLoM_results,Zookeeper_0.80,46797,24329,0.51988,5532,0.11821,3480,0.07436,3035,0.06485,3259,0.06964,3569,0.07627,2347,0.05015,1424,0.03043,1357,0.029,1490,0.03184,1519,0.03246
IPLoM_results,HDFS_0.30,182234,38732,0.21254,60847,0.33389,34862,0.1913,26950,0.14789,29643,0.16266,34951,0.19179,5416,0.02972,2875,0.01578,2038,0.01118,2805,0.01539,2970,0.0163
IPLoM_results,Proxifier_0.30,145574,49123,0.33744,22151,0.15216,12871,0.08842,8715,0.05987,11248,0.07727,12960,0.08903,12165,0.08357,7432,0.05105,5763,0.03959,6778,0.04656,7527,0.05171
IPLoM_results,Proxifier_0.40,124654,47357,0.37991,18906,0.15167,11106,0.08909,7563,0.06067,9567,0.07675,11195,0.08981,10646,0.0854,6535,0.05243,4970,0.03987,5959,0.0478,6630,0.05319
IPLoM_results,HPC_0.50,63946,30280,0.47352,15718,0.2458,9006,0.14084,7336,0.11472,6830,0.10681,9095,0.14223,2569,0.04017,1173,0.01834,913,0.01428,1205,0.01884,1268,0.01983
IPLoM_results,HPC_0.60,55437,26785,0.48316,12703,0.22914,7314,0.13193,5954,0.1074,5623,0.10143,7403,0.13354,1959,0.03534,995,0.01795,830,0.01497,1036,0.01869,1090,0.01966
IPLoM_results,Zookeeper_0.90,24723,12107,0.48971,3784,0.15306,2397,0.09695,2402,0.09716,2324,0.094,2486,0.10055,1590,0.06431,1103,0.04461,1233,0.04987,1205,0.04874,1198,0.04846
IPLoM_results,BGL_0.40,102367,69380,0.67776,21328,0.20835,13021,0.1272,12344,0.12059,10795,0.10545,13110,0.12807,12216,0.11934,8127,0.07939,8357,0.08164,7360,0.0719,8222,0.08032
